"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","30.11.2023 01:20","0.04 m","94.05 m³/h","","30.11.2023 01:22"
"Muuli tee","30.11.2023 01:15","0.04 m","90.48 m³/h","","30.11.2023 01:17"
"Muuli tee","30.11.2023 01:10","0.04 m","94.19 m³/h","","30.11.2023 01:12"
"Muuli tee","30.11.2023 01:05","0.04 m","85.81 m³/h","","30.11.2023 01:07"
"Muuli tee","30.11.2023 01:00","0.04 m","92.95 m³/h","","30.11.2023 01:02"
"Muuli tee","30.11.2023 00:55","0.04 m","90.62 m³/h","","30.11.2023 00:57"
"Muuli tee","30.11.2023 00:50","0.04 m","88 m³/h","","30.11.2023 00:52"
"Muuli tee","30.11.2023 00:45","0.04 m","91.71 m³/h","","30.11.2023 00:47"
"Muuli tee","30.11.2023 00:40","0.04 m","85.81 m³/h","","30.11.2023 00:42"
"Muuli tee","30.11.2023 00:35","0.04 m","87.04 m³/h","","30.11.2023 00:37"
"Muuli tee","30.11.2023 00:30","0.04 m","95.15 m³/h","","30.11.2023 00:32"
"Muuli tee","30.11.2023 00:25","0.04 m","90.48 m³/h","","30.11.2023 00:27"
"Muuli tee","30.11.2023 00:20","0.04 m","91.71 m³/h","","30.11.2023 00:22"
"Muuli tee","30.11.2023 00:15","0.04 m","89.38 m³/h","","30.11.2023 00:17"
"Muuli tee","30.11.2023 00:10","0.04 m","94.19 m³/h","","30.11.2023 00:12"
"Muuli tee","30.11.2023 00:05","0.04 m","91.71 m³/h","","30.11.2023 00:07"
"Muuli tee","30.11.2023 00:00","0.04 m","92.95 m³/h","","30.11.2023 00:02"
"Muuli tee","29.11.2023 23:55","0.04 m","89.24 m³/h","","29.11.2023 23:57"
"Muuli tee","29.11.2023 23:50","0.04 m","91.58 m³/h","","29.11.2023 23:52"
